row,rating,title,text,true_label,pred_label,correct,error
28,5.0,Five Stars,"Great, simple gift.",POSITIVE,POSITIVE,True,
29,5.0,as described,bought for my mother and came quickly :) would buy again,POSITIVE,POSITIVE,True,
30,5.0,Five Stars,Nice 20% discount.,POSITIVE,POSITIVE,True,
31,5.0,Like,My daughter loved this as a gift. Came in fast and I had no problems,POSITIVE,POSITIVE,True,
32,5.0,Easy gift when you don't know what to give.,"Christmas gifts,",POSITIVE,POSITIVE,True,
33,5.0,Reloadable gift card,Easy to load and use.,POSITIVE,POSITIVE,True,
34,5.0,Love it,Incredible,POSITIVE,POSITIVE,True,
35,4.0,"Great idea, nice design.","Well, I ordered this card specifically for how the box looked.  It was secured in a plastic bag....and whoever packaged it just shoved it in, and the bow was messed up.  I had to get my curling iron a",POSITIVE,NEGATIVE,False,
36,5.0,Nice!,Gave as gifts and loved the presentation!,POSITIVE,POSITIVE,True,
37,5.0,Easy and fast,Easy and fast,POSITIVE,POSITIVE,True,
38,5.0,Amazon,It's a gift card.,POSITIVE,POSITIVE,True,
39,5.0,Five Stars,Great gift,POSITIVE,POSITIVE,True,
40,5.0,Gift Card,Everyone loves Amazon gift cards!  Easy to use!  Box is reusable for any small gift!,POSITIVE,POSITIVE,True,
41,4.0,It's a gift card,Just what I wanted,POSITIVE,POSITIVE,True,
42,5.0,Easy to use,Very convenient,POSITIVE,POSITIVE,True,
43,5.0,Five Stars,easy to use,POSITIVE,POSITIVE,True,
44,5.0,It was easy to do.,I liked the ease of doing it.,POSITIVE,POSITIVE,True,
45,5.0,great gifts.,Thank you!,POSITIVE,POSITIVE,True,
46,5.0,Convenient Gift Card for Kindle Reader,Very attractive packaging!,POSITIVE,POSITIVE,True,
47,5.0,Five Stars,Good product!,POSITIVE,POSITIVE,True,
48,5.0,Nice box and makes a nice-looking gift.,Liked it all. So did the 4 recipients of all the boxes I bought.,POSITIVE,POSITIVE,True,
49,5.0,Great foe mailing,Nice n compact,POSITIVE,POSITIVE,True,
50,5.0,Exactly as advertised,Great,POSITIVE,POSITIVE,True,
51,5.0,A great gift!,Arrived on time and was as advertised.,POSITIVE,POSITIVE,True,
52,5.0,Sometimes I use this as cache money for the gift purchases,Sometimes I use this as cache money for the gift purchases. Vert seamless to buy it online.,POSITIVE,POSITIVE,True,
53,5.0,Five Stars,It's a gift card? What can I review about that hah.<br />It was delivered fast.,POSITIVE,POSITIVE,True,
54,5.0,Five Stars,reloading is so easily and the money  is applied immediately,POSITIVE,POSITIVE,True,
55,5.0,Perfect for graduation!!!,Great gift box for gift card!!,POSITIVE,POSITIVE,True,
56,5.0,Its a Gift Card,"What can I say about a gift card.  It works, it was exactly what I expected, and I would purchase again.",POSITIVE,POSITIVE,True,
57,5.0,So Easy,I always try to keep money already loaded so I always have money when I want to shop.,POSITIVE,POSITIVE,True,
58,1.0,False information,web page details are inaccurate and misleading,NEGATIVE,NEGATIVE,True,
59,1.0,Didn’t work,None of the cards worked in the Starbucks ap or at Starbucks stores,NEGATIVE,NEGATIVE,True,
60,5.0,Great Idea!,great idea! feels like money in the bank earning interest.,POSITIVE,POSITIVE,True,
61,5.0,Cute Snowflake design.,Nice Snowflake design so didn't need to wrap it or anything else. Perfect gift box.,POSITIVE,POSITIVE,True,
62,5.0,What to give to the person you do not know very well.,Almost all my friends buy at Amazon. I do too! I always seem to find things I want when I do not have the cash to make a purchase. Amazon gift cards meet my needs and the needs of my friends.,POSITIVE,POSITIVE,True,
63,5.0,Five Stars,Kids loved,POSITIVE,POSITIVE,True,
64,5.0,Great Idea,Great gift,POSITIVE,POSITIVE,True,
65,5.0,Budget,"I use the reloaded gift card a budgeting tool for myself. Let be honest, I know I'm not the only one with a cart total close to one million lol.",POSITIVE,POSITIVE,True,
66,1.0,Be ware!!,Don’t buy. They activate the cards and them they desactivate it. $600 to trash.,NEGATIVE,NEGATIVE,True,
67,5.0,"Nice tin, very appropriate","I bought these for my nieces, they loved them. Nice design for the tin.",POSITIVE,POSITIVE,True,
68,4.0,Nice gift card,Arrived quickly. Looks nice except the cutout on the back of the tin- you see a barcode not Merry Christmas so the picture is misleading. You could flip the gift card over but then it would look silly,POSITIVE,POSITIVE,True,
69,5.0,Good quality!,Got what I expected.,POSITIVE,POSITIVE,True,
70,5.0,It's a gift certificate,Easy to use,POSITIVE,POSITIVE,True,
71,5.0,No problems!,Card worked fine!,POSITIVE,POSITIVE,True,
72,5.0,Five Stars,convenience,POSITIVE,POSITIVE,True,
73,1.0,Nominations,"So incredibly stupid, they sent me two cars they were both different nominations it does not tell you which one is which value. Told you to look up the serial number but she was no serial number anywh",NEGATIVE,NEGATIVE,True,
74,5.0,Good feature.,Needed to add to my order balance and this helps reach that order balance immediately.  Good feature.,POSITIVE,POSITIVE,True,
75,5.0,Great.,I used it today and it is accepted. Great.,POSITIVE,POSITIVE,True,
76,3.0,Supposed to be ready to use.,"Purchased two of these as a gift for my daughter. Assumed them to be 'ready to use' since there were no instructions to activate, secure a PIN or anything else. Daughter said she could not use them wh",NEGATIVE,NEGATIVE,True,
77,5.0,It's a gift card in nice packaging with no overhead cost to the consumer,"It's a gift card in nice packaging with no overhead cost to the consumer. Fairly common practice, but a nice touch -- however the box does ruin the surprise!",POSITIVE,POSITIVE,True,
78,1.0,I can't figure out how to use it! I ...,I can't figure out how to use it! I was trying to use it for some Kindle purchases. I hope I can figure it out on my next try.,NEGATIVE,NEGATIVE,True,
79,5.0,Five Stars,My son liked his gift card.,POSITIVE,POSITIVE,True,
80,4.0,Four Stars,Works as advertised.,POSITIVE,POSITIVE,True,
81,4.0,Watch what you are buying,Product was not what I expected. I wanted to get Ebay cards and not visa debit cards. Lesson learned.,POSITIVE,NEGATIVE,False,
82,5.0,Unique gift,Perfect Birthday gift and so cute!,POSITIVE,POSITIVE,True,
83,5.0,Easy to Order,This made a good Christmas present for my wife.,POSITIVE,POSITIVE,True,
84,5.0,Five Stars,perfect for a gift card,POSITIVE,POSITIVE,True,
85,5.0,Works great,Card was bent when it came in but it was acceptable. The card worked perfectly and my sister appreciated it.,POSITIVE,POSITIVE,True,
86,5.0,"First introduced to this restaurant in Asheville, N. C.","I gave this one to me!  Like it quite well and am holding it for a special time.  If I get only one of these next holiday, it will be mine.",POSITIVE,POSITIVE,True,
87,5.0,Awsome,Super easy to add to your account!,POSITIVE,POSITIVE,True,
88,5.0,Five Stars,It was easy to do!,POSITIVE,POSITIVE,True,
89,3.0,Or if I earned more coins per purchase that would be great as well,I wish the discount was higher. I would purchase more coins.  Or if I earned more coins per purchase that would be great as well.,NEGATIVE,NEGATIVE,True,
90,5.0,everyone loves gift cards!,What is there to say.. Game Stop gift cards are awesome! :),POSITIVE,POSITIVE,True,
91,5.0,Five Stars,it is really great,POSITIVE,POSITIVE,True,
92,5.0,Make your Benifit from your money!,"It saves few money from my spending, I really like it when I use it.",POSITIVE,POSITIVE,True,
93,1.0,Might be lost,"Note came from Amazon ""might/may be lost"", so big disappointment to my intended recipient; I have asked for refund.",NEGATIVE,NEGATIVE,True,
94,1.0,Gift card compromised!!!,Bought this gift card from Amazon for my daughter for Christmas! $110 worth of charges magically appeared. I will never buy another gift card from Amazon again. Contacted them and got zero response.,NEGATIVE,NEGATIVE,True,
95,5.0,Five Stars,It did,POSITIVE,POSITIVE,True,
96,5.0,Five Stars,perfect,POSITIVE,POSITIVE,True,
97,1.0,Invalid,Code didn’t work. Didn’t take certain letters in the code for redemption. Lesson learned no longer purchasing gift cards online.,NEGATIVE,NEGATIVE,True,
98,1.0,This card wasn't activated prior to sending it to us.  It won't work,The card needs to be activated prior to sending it and it wasn't.  We can't redeem the card.,NEGATIVE,NEGATIVE,True,
99,5.0,Gift card,Gift card,POSITIVE,POSITIVE,True,
100,5.0,"""CONVENIENCE"" SPENDING""",I found it very convenient💲!,POSITIVE,POSITIVE,True,
