row,rating,true_label,pred_label,emotion,correct,title,text
94939,3.0,NEUTRAL,POSITIVE,anger,False,Would be 5 stars without activation fee,"Git card for someone who did me a huge favor,  Would be 5 stars except for the service fee.  Would have gone with an entirely different card except I needed the card to be multi-purpose.  There’s a re"
97001,3.0,NEUTRAL,NEUTRAL,trust,True,It's ok,"It's a pain to figure out how, but after that it works"
103693,3.0,NEUTRAL,POSITIVE,joy,False,Three Stars,I liked the book but I need more recipes as my husband is very fussy. LOL
109710,3.0,NEUTRAL,NEUTRAL,anticipation,True,they will purchase good tacos. The gift cards are very plain,I will give these as gifts. they will purchase good tacos. The gift cards are very plain.
114095,3.0,NEUTRAL,NEGATIVE,anger,False,wrong house,"gift card delivered to vacant house (wrong house) luckily my son has surveillance camera and I showed him photo of the place it was delivered.  he scouted neighbor and found it,  ugh!!! not happy"
115861,3.0,NEUTRAL,NEGATIVE,fear,False,Different card Received then pictured!,Hope it’s not a fake because it looks totally different then the card pictured!!!!
122616,3.0,NEUTRAL,NEGATIVE,anger,False,"Good bonus, but",Can’t be transferred again to my debit card when I don’t use the money
127219,3.0,NEUTRAL,NEGATIVE,sadness,False,Item arrived crushed,Boxed was packed in an envelope. The tin was crushed when it arrived. Would have otherwise been nice to give.
127340,3.0,NEUTRAL,NEGATIVE,disgust,False,Food Stains?,"Got a couple of gift cards - but why are the envelopes sealed?  I had planned to write a message in them.  Also, one had a big, chocolate thumb print on it!"
128050,3.0,NEUTRAL,NEGATIVE,fear,False,Paper gift card gets stuck in box,"I was very worried the gift card was lost or stolen.  As I was about to contact Amazon, I looked at the reviews.  The first two reported the card got stuck in the box.  This is exactly what happened. "
128507,3.0,NEUTRAL,NEGATIVE,sadness,False,Nice presentation for a gift card except for the fact ...,Very cute and different.  Nice presentation for a gift card except for the fact that it arrived folded incorrectly and didn't pop up when opened.  I tried but couldn't correct it.
129304,3.0,NEUTRAL,NEGATIVE,sadness,False,No amount on card and directions are inaccurate!,"Ordered several cards of different amounts. All cards are the same. Instructions say to check the serial numbers in ""My Orders""... well they AREN'T listed there! No help from customer service yet... V"
130398,3.0,NEUTRAL,NEUTRAL,surprise,True,Three Stars,Is anyone going to read this? They're gift cards.
133381,3.0,NEUTRAL,NEGATIVE,anger,False,Box was damaged upon arrival,"The gift card itself was fine, no issues.  The premium box it arrived in was a bit crushed and there doesn't seem to be a way to ask for a replacement box without a new gift card."
135262,3.0,NEUTRAL,NEGATIVE,anger,False,"Found both website and app difficult follow,","Took me several tries to load $100to the card. The check boxes didn't work.finally ,after checking either 60 or 100, i wrote in the amount in the other box. Bingo!!!"
135399,3.0,NEUTRAL,POSITIVE,joy,False,GREAT,GREAT
136077,3.0,NEUTRAL,NEUTRAL,fear,True,don’t reload huge amounts,it’s okay
138157,3.0,NEUTRAL,NEGATIVE,disgust,False,Amazon Gift Card,I recall purchasing gift cards in the past which were e-mailed to the recipient.  Now you mail a actual plastic card and charge postage?  How 20th Century.
140378,3.0,NEUTRAL,NEGATIVE,fear,False,Tricky Checkout,I purchase this by accident.  Be careful when you order anything from Amazon.  Check out is a little tricky.
142060,3.0,NEUTRAL,NEGATIVE,anger,False,Three Stars,this came 1 week late don't buy it
147871,3.0,NEUTRAL,NEGATIVE,sadness,False,When it works,"Good if it works, I had to use three different cards before it worked. All had enough balance to accomodate adding funds, but found it disappointing."
149140,3.0,NEUTRAL,NEGATIVE,anger,False,I wrote a message to show who it was from ...,"I wrote a message to show who it was from as it was a gift.  No message inside,  so recipient didn't know who sent."
1818,5.0,POSITIVE,POSITIVE,joy,True,Great,It's good
6979,5.0,POSITIVE,POSITIVE,joy,True,Cute Little Amazon Box,Really cool little box that closes with magnets. It's definitely a fun idea.
7403,5.0,POSITIVE,POSITIVE,joy,True,Great gift!,Love the snowflake tin!
8328,5.0,POSITIVE,POSITIVE,joy,True,Gift,Easy to use
8878,5.0,POSITIVE,POSITIVE,joy,True,Five Stars,Makes a great gift purchase
12158,5.0,POSITIVE,NEUTRAL,trust,False,It's a gift card.,You can't really go wrong with a gift card.
12831,5.0,POSITIVE,POSITIVE,joy,True,This is the perfect gift,"What’s not to like?  This card is good for anything, anytime.  I love using the Amazon Gift Card to show anyone they are loved and appreciated."
19508,5.0,POSITIVE,POSITIVE,joy,True,Five Stars,kids like it
22126,5.0,POSITIVE,POSITIVE,joy,True,Great way to shop,Love reloading from home.  Easier to do than constantly going back and forth to the store for more cards.  Very easy and convenient
22402,5.0,POSITIVE,POSITIVE,joy,True,Nice as a gift!,Great for gift giving and I loved the first time reload incentive!
24440,5.0,POSITIVE,POSITIVE,joy,True,Good purchase,Bought for my son in law.  He liked it.
26065,5.0,POSITIVE,POSITIVE,joy,True,My daughter loves it!,Bought during lightening deals and have as a gift.  My daughter was happy to use.
26333,5.0,POSITIVE,POSITIVE,joy,True,Great gift card,This card holder was unbelievably AWESOME!
27188,5.0,POSITIVE,POSITIVE,joy,True,Movies,Great
28744,5.0,POSITIVE,POSITIVE,joy,True,Five Stars,Love these bags!
28824,5.0,POSITIVE,POSITIVE,joy,True,This is so cute!,Used for a group gift card. There just happened to be 5 of us and she's a dog mama.
31331,5.0,POSITIVE,POSITIVE,joy,True,Five Stars,tyvm
35162,5.0,POSITIVE,POSITIVE,joy,True,Great way to save,"Back in the day, my bank used to have something called Christmas Club where the bank would automatically put your chosen amount from your checking to Christmas account, and in December you would have "
39307,5.0,POSITIVE,POSITIVE,joy,True,Gift card in a tin,Liked the packaging; perfect with a ribbon bow for a gift
43820,5.0,POSITIVE,NEUTRAL,trust,False,just like the description,"It's a gift card, just like the description."
44991,5.0,POSITIVE,POSITIVE,joy,True,Looks Good,I like because it  worked
54437,5.0,POSITIVE,POSITIVE,joy,True,Love it,Just something special
56329,5.0,POSITIVE,POSITIVE,joy,True,Five Stars,LOVE
61016,5.0,POSITIVE,POSITIVE,joy,True,Everyone likes Amazon gift card.,Almost everyone shops in Amazon.Best gift card.
61953,5.0,POSITIVE,POSITIVE,joy,True,Great!,Works Great!
62466,5.0,POSITIVE,POSITIVE,joy,True,GREAT,Just what I needed
63248,5.0,POSITIVE,POSITIVE,joy,True,Five Stars,Great
64625,5.0,POSITIVE,POSITIVE,joy,True,Great versatile gift!,Great gift that allows the receiver to Pick what they really want!
66022,5.0,POSITIVE,POSITIVE,joy,True,how cute these are!!!,Absolutely a must for the holiday gift exchanges. Great gift and already wrapped.
66061,5.0,POSITIVE,POSITIVE,joy,True,Easy gift for themselves,I bought 3 to give to my nephews
69534,5.0,POSITIVE,POSITIVE,joy,True,Five Stars,perfect - quick ship
75154,5.0,POSITIVE,POSITIVE,joy,True,Way to split payments if needed,Quick reload easy to split payments on big purchases
78259,5.0,POSITIVE,NEGATIVE,anger,False,5% sweet sauce,Sweet sauce. Thanks for the extra $5
79094,5.0,POSITIVE,POSITIVE,joy,True,Easy as usual,"Easy, easy, easy"
79190,5.0,POSITIVE,POSITIVE,joy,True,Five Stars,timely and great feature for this particular purchase.  thank you very much.
82438,5.0,POSITIVE,POSITIVE,joy,True,Quick & easy,Nice and useful feature
83542,5.0,POSITIVE,POSITIVE,joy,True,Five Stars,Great gift.
96790,5.0,POSITIVE,POSITIVE,joy,True,Good,Good to use
97872,5.0,POSITIVE,POSITIVE,joy,True,we love ihop,great lightning deal
98960,5.0,POSITIVE,POSITIVE,joy,True,Great job Amazon,Takes up way less space in my wallet than 50 singles would. Great job Amazon!
103402,5.0,POSITIVE,POSITIVE,joy,True,Awesome mom or grandma gift,This is an awesome gift if you have a mom or grandma addicted to QVC. Lol..my mom loves getting these
104214,5.0,POSITIVE,POSITIVE,joy,True,Great gift idea,"The gift recipient was my friend who is getting married and she actually made a comment about how pretty the box was not knowing it was even an Amazon gift , only thing is the gift card wasn’t where i"
109243,5.0,POSITIVE,POSITIVE,joy,True,Fun chimney gift card and holder,Just what he asked for.  Nice presentation.
109671,5.0,POSITIVE,POSITIVE,joy,True,Five Stars,A winner every time
121928,5.0,POSITIVE,POSITIVE,joy,True,Five Stars,Daughter loved it. Thank you for the opportunity
122700,5.0,POSITIVE,POSITIVE,joy,True,Fast & Easy,The process is simple and easy to use to convert your gift card to Amazons gift card.
122927,5.0,POSITIVE,POSITIVE,joy,True,"Money,value for the money!!","I really like the reload,I do most of my shopping on Amazon.Keep up the good work"
131092,5.0,POSITIVE,POSITIVE,joy,True,Five Stars,Great
134288,5.0,POSITIVE,POSITIVE,joy,True,Gift Card Reload,Very easy and quick process.
149274,5.0,POSITIVE,POSITIVE,joy,True,Five Stars,Nice
